host_total_listings_count;accommodates;bedrooms;beds;price;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
1;6;4;4;1893;3;21;60;4.92;4.92;4.78;4.98;4.95;4.81;4.73;0.55
1;5;4;4;1100;4;28;14;4.92;4.36;4.91;5.0;5.0;4.82;4.73;0.13
1;10;4;4;2061;4;1125;44;4.79;4.76;4.78;4.98;4.93;4.81;4.81;0.41
1;8;4;4;1100;6;1125;14;4.93;4.93;4.86;5.0;5.0;4.86;4.86;0.2
1;6;4;;1034;5;21;13;4.67;4.92;4.25;5.0;5.0;4.83;4.42;0.14
1;6;4;4;1000;7;21;49;4.81;4.85;4.74;4.91;4.93;4.84;4.83;0.46
1;8;4;3;2380;3;1125;94;4.74;4.87;4.78;4.96;4.94;4.64;4.64;0.88
1;5;4;5;1550;5;28;20;4.9;4.9;4.95;5.0;4.95;4.61;4.63;0.19
1;5;4;4;1300;4;1125;4;4.67;4.67;4.33;4.67;4.67;4.67;4.33;0.06
1;5;4;4;2120;3;10;11;4.82;4.82;4.73;5.0;5.0;4.73;4.73;0.13
1;7;4;5;900;3;14;11;4.64;4.64;4.09;4.82;4.73;4.55;4.27;0.21
1;5;4;4;2700;3;365;25;4.88;4.92;4.46;5.0;4.79;4.96;4.79;0.3
1;6;4;;1915;4;1125;2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.02
1;10;4;4;1536;2;1125;27;4.7;4.74;4.87;4.68;4.95;4.32;4.55;0.27
1;7;4;4;1800;6;20;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.04
1;7;4;4;967;6;1125;54;4.62;4.69;4.41;4.88;4.92;4.55;4.69;0.57
1;6;4;4;750;3;30;9;4.63;4.88;4.88;4.88;5.0;4.38;4.75;0.09
1;7;4;4;1350;5;1124;8;5.0;5.0;4.88;5.0;5.0;5.0;5.0;0.12
1;8;4;6;1599;7;30;4;5.0;5.0;4.67;5.0;5.0;4.67;4.67;0.05
1;8;4;8;1500;5;1125;8;4.38;4.75;4.13;5.0;4.88;4.75;4.63;0.08
1;8;4;8;1250;4;30;13;4.7;4.9;4.8;5.0;5.0;4.78;4.67;0.14
1;5;4;3;843;5;90;17;4.88;4.63;4.75;4.94;5.0;4.63;4.75;0.18
1;8;4;6;1562;7;1125;11;4.73;4.64;4.36;4.73;4.82;4.55;4.27;0.13
1;6;4;4;1400;2;7;55;4.95;4.93;4.91;4.98;4.98;4.87;4.79;0.64
1;10;4;4;701;5;1125;5;4.6;4.6;4.4;4.8;5.0;4.4;4.0;0.07
1;5;4;5;1599;3;21;68;4.8;4.84;4.78;4.9;4.97;4.9;4.68;0.7
1;7;4;5;1650;3;1125;32;4.94;4.94;5.0;4.88;4.84;4.75;4.78;0.33
1;7;4;3;2150;2;1125;15;4.57;4.71;4.64;4.71;4.64;5.0;4.79;0.18
1;5;4;7;2043;3;30;43;4.98;4.85;4.95;5.0;4.98;4.95;4.78;0.5
1;6;4;8;707;5;30;14;4.91;4.73;4.55;5.0;5.0;4.73;4.82;0.16
1;5;4;7;784;1;14;44;4.81;4.91;4.86;4.88;4.91;4.74;4.84;0.46
1;8;4;4;3000;5;1125;17;5.0;4.93;4.93;5.0;5.0;4.93;5.0;0.18
1;5;4;5;1100;2;25;8;4.86;4.29;5.0;4.71;4.86;4.71;4.86;0.09
1;10;4;5;2100;4;1125;28;4.88;4.73;4.85;5.0;4.96;4.81;4.77;0.3
1;6;4;3;1500;4;1125;25;4.78;4.81;4.55;4.82;4.86;4.55;4.71;0.26
1;8;4;7;1321;10;1125;4;4.75;4.25;4.75;4.5;4.5;4.5;4.5;0.06
1;7;4;6;1295;4;1125;7;4.86;4.86;4.71;5.0;5.0;4.71;4.71;0.1
1;8;4;6;1029;7;1125;2;4.5;5.0;4.5;5.0;5.0;5.0;4.0;0.03
1;6;4;4;1371;3;1125;16;4.75;4.94;4.25;5.0;5.0;5.0;4.88;0.35
1;6;4;6;750;5;30;26;4.77;4.77;4.88;4.92;4.81;4.81;4.85;0.28
1;5;4;4;1686;2;15;17;5.0;4.75;4.94;5.0;5.0;5.0;4.94;0.2
1;7;4;4;1800;5;16;10;5.0;5.0;4.67;4.89;5.0;4.78;4.78;0.17
1;5;4;3;987;3;1125;15;4.85;4.85;4.85;4.92;4.85;4.77;4.85;0.2
